#Peso	Altura	Genero	Edad
72	1.71	1	51
25	1.41	1	8
65	1.65	0	40
51	1.61	0	20
65	1.67	1	19
57	1.65	1	23
52	1.58	0	42
54	1.72	1	18
65	1.71	1	17
52	1.63	0	43
30	1.35	0	6
62	1.52	0	58
55	1.58	0	48
82	1.73	1	49
75	1.62	1	39
56	1.61	0	49
60	1.71	1	50
62	1.65	0	29
58	1.63	0	28
50	1.51	0	18
52	1.55	0	18
82	1.58	0	55
106	1.64	1	42
57	1.52	0	77
80	1.67	1	44
60	1.63	1	22
72	1.65	0	38
55	1.52	0	57
70	1.82	1	22
65	1.72	1	20
75	1.71	1	50
65	1.65	0	47
70	1.6	0	29
78	1.78	1	24
69	1.7	1	19
65	1.6	0	19
92	1.91	1	19
74	1.72	0	53
80	1.75	1	44
64	1.63	0	42
75	1.72	1	48
50	1.52	0	49
90	1.8	1	40
65	1.7	0	40
62	1.53	0	68
46	1.55	0	29
56	1.56	0	52
78	1.78	1	28
60	1.77	1	23
26	1.39	0	9
71	1.68	1	53
45	1.57	0	21
72	1.72	1	24
49	1.48	0	22
46	1.49	0	19
49	1.5	0	26
52	1.47	0	55
57	1.59	0	22
59	1.62	0	26
68	1.57	0	49
80	1.78	1	51
64	1.7	1	18
54	1.6	0	21
56	1.52	0	41
76	1.71	1	49
68	1.72	1	22
69	1.73	1	25
69	1.72	1	42
58	1.58	0	41
42	1.73	1	17
68	1.81	1	19
50	1.59	0	21
50	1.55	0	19
54	1.62	0	39
65	1.60	1	71
60	1.62	0	18
68	1.65	1	24
58	1.63	0	35
80	1.68	1	39
35	1.42	1	12
13	80	0	2
17	103	0	4
48	1.53	0	47
40	1.51	0	75
44	1.56	0	17
43	1.58	0	12
53	1.55	0	39
73	1.71	1	43
40	1.48	0	13
46	1.53	0	18
78	1.87	1	48
74	1.7	0	48
82	1.83	1	17
64	1.75	1	18
68	1.64	0	18
74	1.63	0	45
78	1.64	1	43
78	1.73	1	24
24	1.2	0	8
54	1.65	0	19
47	1.63	0	24
62	1.60	0	49
59	1.45	0	69
69	1.73	1	21
95	1.80	1	38
78	1.55	0	41
65	1.60	0	39
60	1.52	0	58
45	1.41	1	18
65	1.68	0	24
32	1.25	1	13
70	1.78	0	26
55	1.62	1	48
67	1.63	0	19
63	1.69	1	24
60	1.6	0	26
77	1.7	1	56
65	1.6	0	52
65	1.50	0	40
94	1.70	1	49
63	1.52	0	15
68	1.55	0	28
76	1.64	1	33
54	1.68	1	23
47	1.6	0	19
65	1.68	1	56
57	1.55	0	51
50	1.62	0	14
38	1.55	0	12
55	1.5	0	43
88	1.65	1	47
56.7	1.55	0	53
44	1.6	0	18
73	1.65	0	53
22	1.15	0	7
65	1.73	1	31
55	1.62	0	14
69	1.73	1	25
55	1.63	0	20
48	1.51	0	36
56	1.54	0	18
60	1.63	0	19
68	1.68	0	22
64	1.65	1	28
54	1.51	0	50
75	1.71	1	48
90	1.81	1	40
65	1.54	0	67
85	1.77	1	18
57	1.65	0	19
54	1.55	0	18
69	1.75	1	19
48	1.54	0	19
65	1.64	0	40
80	1.65	0	24
24	1.42	0	11
79	1.67	1	30
79	1.79	1	22
45	1.55	0	20
58	1.58	0	20
50	1.57	0	19
67	1.7	1	25
53	1.51	1	19
16	98	1	4
81	1.72	0	41
55	1.55	1	26
46	1.57	0	20
55	1.68	0	19
47	1.58	0	18
73	1.83	1	26
65	1.64	1	34
60	1.48	0	40
80	1.72	1	49
82	1.53	0	39
60	1.83	1	21
63	1.66	0	36
74	1.68	1	43
54	1.6	0	52
55	1.58	0	13
20	1.11	0	7
74	1.57	0	19
64	1.57	0	57
65	1.73	1	26
15	1.09	0	7
52	1.58	0	26
